Date,BTC_price
15-06-2014,588.55
16-06-2014,586.91
17-06-2014,606.48
18-06-2014,607.0
19-06-2014,593.4
20-06-2014,588.02
21-06-2014,591.29
22-06-2014,600.34
23-06-2014,588.22
24-06-2014,572.62
25-06-2014,560.4
26-06-2014,579.99
27-06-2014,599.99
28-06-2014,589.56
29-06-2014,599.89
30-06-2014,641.11
01-07-2014,638.25
02-07-2014,650.5
03-07-2014,645.99
04-07-2014,629.0
05-07-2014,630.0
06-07-2014,630.57
07-07-2014,622.09
08-07-2014,623.98
09-07-2014,621.97
10-07-2014,616.87
11-07-2014,635.0
12-07-2014,638.1
13-07-2014,630.88
14-07-2014,621.17
15-07-2014,622.9
16-07-2014,616.86
17-07-2014,622.2
18-07-2014,632.6
19-07-2014,628.63
20-07-2014,627.0
21-07-2014,622.73
22-07-2014,618.26
23-07-2014,621.0
24-07-2014,601.66
25-07-2014,602.93
26-07-2014,596.23
27-07-2014,590.3
28-07-2014,586.53
29-07-2014,585.95
30-07-2014,563.84
31-07-2014,582.04
01-08-2014,598.2
02-08-2014,589.59
03-08-2014,588.91
04-08-2014,588.5
05-08-2014,581.76
06-08-2014,581.16
07-08-2014,585.84
08-08-2014,588.02
09-08-2014,587.97
10-08-2014,590.96
11-08-2014,573.98
12-08-2014,566.69
13-08-2014,548.81
14-08-2014,507.99
15-08-2014,500.25
16-08-2014,521.97
17-08-2014,496.86
18-08-2014,475.22
19-08-2014,491.98
20-08-2014,516.39
21-08-2014,519.28
22-08-2014,514.65
23-08-2014,497.0
24-08-2014,507.85
25-08-2014,503.82
26-08-2014,512.18
27-08-2014,511.87
28-08-2014,506.0
29-08-2014,509.3
30-08-2014,500.85
31-08-2014,479.04
01-09-2014,474.54
02-09-2014,474.5
03-09-2014,474.89
04-09-2014,487.43
05-09-2014,477.65
06-09-2014,479.78
07-09-2014,475.43
08-09-2014,468.33
09-09-2014,473.2
10-09-2014,476.57
11-09-2014,475.9
12-09-2014,474.62
13-09-2014,477.98
14-09-2014,475.49
15-09-2014,469.47
16-09-2014,462.02
17-09-2014,452.09
18-09-2014,425.0
19-09-2014,395.86
20-09-2014,408.76
21-09-2014,399.55
22-09-2014,400.07
23-09-2014,438.97
24-09-2014,423.68
25-09-2014,408.76
26-09-2014,403.57
27-09-2014,401.77
28-09-2014,375.35
29-09-2014,374.2
30-09-2014,391.09
01-10-2014,384.86
02-10-2014,374.68
03-10-2014,358.74
04-10-2014,326.21
05-10-2014,323.52
06-10-2014,328.59
07-10-2014,334.8
08-10-2014,355.73
09-10-2014,364.01
10-10-2014,360.89
11-10-2014,362.0
12-10-2014,378.11
13-10-2014,392.6
14-10-2014,403.38
15-10-2014,394.52
16-10-2014,383.95
17-10-2014,383.65
18-10-2014,390.58
19-10-2014,387.53
20-10-2014,381.21
21-10-2014,385.81
22-10-2014,382.04
23-10-2014,357.18
24-10-2014,358.86
25-10-2014,348.69
26-10-2014,355.18
27-10-2014,350.0
28-10-2014,356.96
29-10-2014,335.7
30-10-2014,346.14
31-10-2014,337.99
01-11-2014,324.7
02-11-2014,324.36
03-11-2014,325.5
04-11-2014,330.22
05-11-2014,338.38
06-11-2014,349.99
07-11-2014,342.16
08-11-2014,345.39
09-11-2014,364.77
10-11-2014,366.43
11-11-2014,370.65
12-11-2014,426.63
13-11-2014,420.93
14-11-2014,399.98
15-11-2014,376.99
16-11-2014,389.86
17-11-2014,387.69
18-11-2014,374.88
19-11-2014,379.03
20-11-2014,356.47
21-11-2014,351.2
22-11-2014,353.12
23-11-2014,367.17
24-11-2014,375.99
25-11-2014,377.37
26-11-2014,368.5
27-11-2014,369.98
28-11-2014,376.86
29-11-2014,375.49
30-11-2014,377.01
01-12-2014,376.53
02-12-2014,379.52
03-12-2014,375.33
04-12-2014,369.16
05-12-2014,376.0
06-12-2014,374.38
07-12-2014,377.26
08-12-2014,361.3
09-12-2014,352.03
10-12-2014,345.21
11-12-2014,348.9
12-12-2014,352.24
13-12-2014,351.67
14-12-2014,356.52
15-12-2014,349.0
16-12-2014,329.05
17-12-2014,322.0
18-12-2014,312.67
19-12-2014,318.33
20-12-2014,331.79
21-12-2014,320.01
22-12-2014,331.56
23-12-2014,336.92
24-12-2014,323.06
25-12-2014,319.86
26-12-2014,328.27
27-12-2014,316.47
28-12-2014,317.64
29-12-2014,313.01
30-12-2014,311.07
31-12-2014,321.0
01-01-2015,314.2489929199219
02-01-2015,315.0320129394531
03-01-2015,281.0820007324219
04-01-2015,264.19500732421875
05-01-2015,274.4739990234375
06-01-2015,286.1889953613281
07-01-2015,294.3370056152344
08-01-2015,283.3489990234375
09-01-2015,290.4079895019531
10-01-2015,274.7959899902344
11-01-2015,265.6600036621094
12-01-2015,267.7959899902344
13-01-2015,225.86099243164062
14-01-2015,178.10299682617188
15-01-2015,209.843994140625
16-01-2015,208.0970001220703
17-01-2015,199.25999450683594
18-01-2015,210.33900451660156
19-01-2015,214.86099243164062
20-01-2015,211.31500244140625
21-01-2015,226.89700317382812
22-01-2015,233.406005859375
23-01-2015,232.87899780273438
24-01-2015,247.8470001220703
25-01-2015,253.71800231933594
26-01-2015,273.4729919433594
27-01-2015,263.4750061035156
28-01-2015,233.9149932861328
29-01-2015,233.51300048828125
30-01-2015,226.4250030517578
31-01-2015,217.46400451660156
01-02-2015,226.9720001220703
02-02-2015,238.22900390625
03-02-2015,227.26800537109375
04-02-2015,226.85299682617188
05-02-2015,217.11099243164062
06-02-2015,222.26600646972656
07-02-2015,227.75399780273438
08-02-2015,223.41200256347656
09-02-2015,220.11000061035156
10-02-2015,219.83900451660156
11-02-2015,219.18499755859375
12-02-2015,221.76400756835938
13-02-2015,235.427001953125
14-02-2015,257.3210144042969
15-02-2015,234.8249969482422
16-02-2015,233.84300231933594
17-02-2015,243.61000061035156
18-02-2015,236.3260040283203
19-02-2015,240.2830047607422
20-02-2015,243.7790069580078
21-02-2015,244.53399658203125
22-02-2015,235.9770050048828
23-02-2015,238.89199829101562
24-02-2015,238.73500061035156
25-02-2015,237.47000122070312
26-02-2015,236.42599487304688
27-02-2015,253.8280029296875
28-02-2015,254.26300048828125
01-03-2015,260.2019958496094
02-03-2015,275.6700134277344
03-03-2015,281.7019958496094
04-03-2015,273.0920104980469
05-03-2015,276.1780090332031
06-03-2015,272.7229919433594
07-03-2015,276.260986328125
08-03-2015,274.35400390625
09-03-2015,289.60699462890625
10-03-2015,291.760009765625
11-03-2015,296.3789978027344
12-03-2015,294.35400390625
13-03-2015,285.3370056152344
14-03-2015,281.885009765625
15-03-2015,286.39300537109375
16-03-2015,290.5929870605469
17-03-2015,285.5050048828125
18-03-2015,256.29901123046875
19-03-2015,260.9280090332031
20-03-2015,261.7489929199219
21-03-2015,260.0249938964844
22-03-2015,267.9599914550781
23-03-2015,266.739990234375
24-03-2015,245.59500122070312
25-03-2015,246.19700622558594
26-03-2015,248.53199768066406
27-03-2015,247.0290069580078
28-03-2015,252.79800415039062
29-03-2015,242.71299743652344
30-03-2015,247.5260009765625
31-03-2015,244.2239990234375
01-04-2015,247.27200317382812
02-04-2015,253.0050048828125
03-04-2015,254.32200622558594
04-04-2015,253.69700622558594
05-04-2015,260.5979919433594
06-04-2015,255.49200439453125
07-04-2015,253.17999267578125
08-04-2015,245.02200317382812
09-04-2015,243.67599487304688
10-04-2015,236.07200622558594
11-04-2015,236.552001953125
12-04-2015,236.1529998779297
13-04-2015,224.58700561523438
14-04-2015,219.15899658203125
15-04-2015,223.83299255371094
16-04-2015,228.572998046875
17-04-2015,222.8820037841797
18-04-2015,223.3560028076172
19-04-2015,222.60000610351562
20-04-2015,224.62600708007812
21-04-2015,235.2689971923828
22-04-2015,234.17599487304688
23-04-2015,236.46200561523438
24-04-2015,231.26800537109375
25-04-2015,226.38999938964844
26-04-2015,219.42999267578125
27-04-2015,229.28599548339844
28-04-2015,225.85499572753906
29-04-2015,225.80799865722656
30-04-2015,236.14500427246094
01-05-2015,232.07899475097656
02-05-2015,234.92999267578125
03-05-2015,240.35800170898438
04-05-2015,239.01800537109375
05-05-2015,236.12100219726562
06-05-2015,229.78199768066406
