DATE,TLAACBW027SBOG
1982-03-03,1726.8601
1982-03-10,1725.109
1982-03-17,1725.6257
1982-03-24,1729.8545
1982-03-31,1738.8189
1982-04-07,1742.2733
1982-04-14,1739.079
1982-04-21,1737.4074
1982-04-28,1730.3522
1982-05-05,1746.856
1982-05-12,1754.0795
1982-05-19,1745.9707
1982-05-26,1755.6862
1982-06-02,1765.7116
1982-06-09,1762.9822
1982-06-16,1756.4275
1982-06-23,1761.6666
1982-06-30,1768.9363
1982-07-07,1770.2399
1982-07-14,1769.2384
1982-07-21,1772.9619
1982-07-28,1788.2796
1982-08-04,1790.7915
1982-08-11,1793.1624
1982-08-18,1792.2497
1982-08-25,1803.4771
1982-09-01,1810.108
1982-09-08,1804.9653
1982-09-15,1820.1505
1982-09-22,1806.3159
1982-09-29,1796.4633
1982-10-06,1811.5876
1982-10-13,1824.602
1982-10-20,1824.1637
1982-10-27,1834.1413
1982-11-03,1838.2188
1982-11-10,1821.1217
1982-11-17,1818.0081
1982-11-24,1829.4726
1982-12-01,1831.0032
1982-12-08,1838.8424
1982-12-15,1844.3079
1982-12-22,1846.1007
1982-12-29,1833.4254
1983-01-05,1848.234
1983-01-12,1861.9405
1983-01-19,1852.0884
1983-01-26,1868.4559
1983-02-02,1867.512
1983-02-09,1860.7497
1983-02-16,1848.5544
1983-02-23,1865.0775
1983-03-02,1882.3094
1983-03-09,1862.9167
1983-03-16,1876.687
1983-03-23,1867.1367
1983-03-30,1868.8176
1983-04-06,1884.2024
1983-04-13,1875.2659
1983-04-20,1875.5347
1983-04-27,1879.337
1983-05-04,1886.4309
1983-05-11,1889.4417
1983-05-18,1886.8338
1983-05-25,1887.1162
1983-06-01,1909.657
1983-06-08,1895.2147
1983-06-15,1906.9873
1983-06-22,1904.0069
1983-06-29,1902.668
1983-07-06,1930.2819
1983-07-13,1920.1196
1983-07-20,1927.0053
1983-07-27,1936.4405
1983-08-03,1932.134
1983-08-10,1932.307
1983-08-17,1927.3175
1983-08-24,1939.1671
1983-08-31,1942.9154
1983-09-07,1941.4087
1983-09-14,1935.8111
1983-09-21,1946.7734
1983-09-28,1937.3063
1983-10-05,1966.041
1983-10-12,1975.0591
1983-10-19,1958.7847
1983-10-26,1974.6441
1983-11-02,1966.5443
1983-11-09,1969.2
1983-11-16,1977.0746
1983-11-23,1985.6664
1983-11-30,1975.7388
1983-12-07,1983.4541
1983-12-14,1983.4466
1983-12-21,1981.4345
1983-12-28,1978.9095
1984-01-04,2013.1601
1984-01-11,2009.9796
1984-01-18,1997.9104
1984-01-25,2011.8073
1984-02-01,2019.6525
1984-02-08,2012.0348
1984-02-15,2023.4836
1984-02-22,2020.3977
1984-02-29,2029.493
1984-03-07,2017.7035
1984-03-14,2044.2532
1984-03-21,2035.5768
1984-03-28,2039.1161
1984-04-04,2053.2995
1984-04-11,2060.1067
1984-04-18,2059.6204
1984-04-25,2078.7444
1984-05-02,2074.5907
1984-05-09,2092.0276
1984-05-16,2090.6717
1984-05-23,2099.5718
1984-05-30,2085.3176
1984-06-06,2102.3064
1984-06-13,2092.5173
1984-06-20,2118.9467
1984-06-27,2107.1089
1984-07-04,2122.0524
1984-07-11,2113.4169
1984-07-18,2115.4118
1984-07-25,2123.3719
1984-08-01,2124.7454
1984-08-08,2118.4608
1984-08-15,2130.2862
1984-08-22,2125.195
1984-08-29,2119.0012
1984-09-05,2131.088
1984-09-12,2143.063
1984-09-19,2140.0112
1984-09-26,2142.4318
1984-10-03,2133.3855
1984-10-10,2154.4055
1984-10-17,2124.4421
1984-10-24,2153.5157
1984-10-31,2160.8838
1984-11-07,2166.8987
1984-11-14,2170.4445
1984-11-21,2175.9193
1984-11-28,2151.0933
1984-12-05,2175.0882
1984-12-12,2174.9946
1984-12-19,2178.7633
1984-12-26,2189.4519
1985-01-02,2187.5999
1985-01-09,2180.2556
1985-01-16,2191.4893
1985-01-23,2189.9432
1985-01-30,2190.3852
1985-02-06,2196.6613
1985-02-13,2206.8493
1985-02-20,2221.2785
1985-02-27,2226.9917
1985-03-06,2219.2819
1985-03-13,2225.6277
1985-03-20,2223.5835
1985-03-27,2224.2212
1985-04-03,2220.1096
1985-04-10,2228.4331
1985-04-17,2217.4291
1985-04-24,2224.579
1985-05-01,2244.3067
1985-05-08,2241.9121
1985-05-15,2263.6527
1985-05-22,2253.8102
1985-05-29,2240.406
1985-06-05,2267.1988
1985-06-12,2271.3334
1985-06-19,2279.0623
1985-06-26,2273.5048
1985-07-03,2279.6433
1985-07-10,2276.7661
1985-07-17,2275.4114
1985-07-24,2282.3989
1985-07-31,2290.4023
1985-08-07,2281.64
1985-08-14,2290.0481
1985-08-21,2288.9661
1985-08-28,2290.0012
1985-09-04,2310.3541
1985-09-11,2302.6437
1985-09-18,2302.9995
1985-09-25,2306.0899
1985-10-02,2317.1228
1985-10-09,2308.8952
1985-10-16,2312.237
1985-10-23,2310.8645
1985-10-30,2307.4127
1985-11-06,2331.516
1985-11-13,2335.4887
1985-11-20,2346.3555
1985-11-27,2360.4552
1985-12-04,2367.312
1985-12-11,2366.7863
1985-12-18,2379.2897
1985-12-25,2383.7367
1986-01-01,2394.9508
1986-01-08,2390.0574
1986-01-15,2400.5451
1986-01-22,2393.1787
1986-01-29,2381.3765
1986-02-05,2398.5896
1986-02-12,2393.9434
1986-02-19,2406.9322
1986-02-26,2402.0053
1986-03-05,2419.9096
1986-03-12,2426.9232
1986-03-19,2421.1879
1986-03-26,2437.1343
1986-04-02,2429.0087
1986-04-09,2436.4311
1986-04-16,2435.6201
1986-04-23,2453.2647
1986-04-30,2448.8161
1986-05-07,2441.3879
1986-05-14,2439.5529
1986-05-21,2449.2631
1986-05-28,2454.4689
1986-06-04,2447.0394
1986-06-11,2451.3382
1986-06-18,2448.4657
1986-06-25,2459.8192
1986-07-02,2465.1826
1986-07-09,2471.5587
1986-07-16,2486.6456
1986-07-23,2484.5397
