Date,BalanceSheet_FED,BalanceSheet_global,Bitcoin_Wikipedia_Search,BTC_USD,USD_OnChain_Volume,GDP_usa,HashRate,M2_Liquidity,Dollar_Index,QQQ,GLD,TLT,Ten_YR_USA,VIX,OIL_USD,Miners_Revenue_USD,Mining_Difficulty,Nr_Transactions,Nr_Addresses,BTC_Supply
2019-03-09,,,2698.0,3947.74,335332056.773866,,41652968.3921821,,,,,,,,,7087594.99280831,6071846049921.0,239492.0,458538.0,17579862.5
2019-03-10,,,3075.0,3929.84,289475543.963133,,41045042.9709582,,,,,,,,,6690849.40826923,6071216044486.62,212877.0,392557.0,17581562.5
2019-03-11,,,4062.0,3874.89,581817561.236106,,42839445.3543434,14561.9,97.22000122070312,168.58053588867188,122.23999786376952,106.49683380126952,2.6429998874664307,14.329999923706056,56.790000915527344,6977449.87654973,6068891541677.0,294741.0,554792.0,17583337.5
2019-03-12,,,4045.0,3888.57,634318677.206897,,43141131.5892332,,96.94000244140624,169.50682067871094,122.9800033569336,107.24366760253906,2.6050000190734863,13.770000457763672,56.869998931884766,7088005.70444551,6068891541677.0,285653.0,532589.0,17585125.0
2019-03-13,3971559.0,17054.2186,3727.0,3878.44,632556077.344,,40727641.7101152,,96.5500030517578,170.7803497314453,123.83999633789062,107.04159545898438,2.611000061035156,13.40999984741211,58.2599983215332,6637474.19377045,6068891541677.0,285957.0,515962.0,17586812.5
2019-03-14,,,3898.0,3881.44,715988875.30552,,46761366.4079101,,96.79000091552734,170.4908905029297,122.41000366210938,106.26840209960938,2.630000114440918,13.5,58.61000061035156,7600598.59424684,6068891541677.0,299929.0,551001.0,17588750.0
2019-03-15,,,3322.0,3927.08,544675740.536405,,46157993.9381306,,96.5999984741211,172.0731658935547,122.97000122070312,106.9713134765625,2.5929999351501465,12.880000114440918,58.52000045776367,7723228.79179382,6068891541677.0,296970.0,558693.0,17590662.5
2019-03-16,,,2550.0,4027.01,360840832.093826,,49174856.287028,,,,,,,,,8496146.10726474,6068891541677.0,262267.0,468300.0,17592700.0
2019-03-17,,,2770.0,3998.0,249331295.569819,,44046190.2939024,,,,,,,,,7297849.33901329,6068891541677.0,227290.0,413098.0,17594525.0
2019-03-18,,,3796.0,3988.85,597904327.879694,,48571483.8172485,14571.7,96.5199966430664,172.4830322265625,123.04000091552734,106.90980529785156,2.601999998092652,13.100000381469728,59.09000015258789,8269486.75644039,6068891541677.0,291505.0,533680.0,17596537.5
2019-03-19,,,3765.0,4024.14,609610214.504111,,52493404.8708152,,96.37999725341795,173.06295776367188,123.37999725341795,106.6725845336914,2.614000082015991,13.5600004196167,59.02999877929688,8830120.09324167,6068891541677.0,304744.0,551374.0,17598712.5
