Date,BalanceSheet_global
06/06/84,2102.3064
06/13/84,2092.5173
06/20/84,2118.9467
06/27/84,2107.1089
07/04/84,2122.0524
07/11/84,2113.4169
07/18/84,2115.4118
07/25/84,2123.3719
08/01/84,2124.7454
08/08/84,2118.4608
08/15/84,2130.2862
08/22/84,2125.195
08/29/84,2119.0012
09/05/84,2131.088
09/12/84,2143.063
09/19/84,2140.0112
09/26/84,2142.4318
10/03/84,2133.3855
10/10/84,2154.4055
10/17/84,2124.4421
10/24/84,2153.5157
10/31/84,2160.8838
11/07/84,2166.8987
11/14/84,2170.4445
11/21/84,2175.9193
11/28/84,2151.0933
12/05/84,2175.0882
12/12/84,2174.9946
12/19/84,2178.7633
12/26/84,2189.4519
01/02/85,2187.5999
01/09/85,2180.2556
01/16/85,2191.4893
01/23/85,2189.9432
01/30/85,2190.3852
02/06/85,2196.6613
02/13/85,2206.8493
02/20/85,2221.2785
02/27/85,2226.9917
03/06/85,2219.2819
03/13/85,2225.6277
03/20/85,2223.5835
03/27/85,2224.2212
04/03/85,2220.1096
04/10/85,2228.4331
04/17/85,2217.4291
04/24/85,2224.579
05/01/85,2244.3067
05/08/85,2241.9121
05/15/85,2263.6527
05/22/85,2253.8102
05/29/85,2240.406
06/05/85,2267.1988
06/12/85,2271.3334
06/19/85,2279.0623
06/26/85,2273.5048
07/03/85,2279.6433
07/10/85,2276.7661
07/17/85,2275.4114
07/24/85,2282.3989
07/31/85,2290.4023
08/07/85,2281.64
08/14/85,2290.0481
08/21/85,2288.9661
08/28/85,2290.0012
09/04/85,2310.3541
09/11/85,2302.6437
09/18/85,2302.9995
09/25/85,2306.0899
10/02/85,2317.1228
10/09/85,2308.8952
10/16/85,2312.237
10/23/85,2310.8645
10/30/85,2307.4127
11/06/85,2331.516
11/13/85,2335.4887
11/20/85,2346.3555
11/27/85,2360.4552
12/04/85,2367.312
12/11/85,2366.7863
12/18/85,2379.2897
12/25/85,2383.7367
01/01/86,2394.9508
01/08/86,2390.0574
01/15/86,2400.5451
01/22/86,2393.1787
01/29/86,2381.3765
02/05/86,2398.5896
02/12/86,2393.9434
02/19/86,2406.9322
02/26/86,2402.0053
03/05/86,2419.9096
03/12/86,2426.9232
03/19/86,2421.1879
03/26/86,2437.1343
04/02/86,2429.0087
04/09/86,2436.4311
04/16/86,2435.6201
04/23/86,2453.2647
04/30/86,2448.8161
05/07/86,2441.3879
05/14/86,2439.5529
05/21/86,2449.2631
05/28/86,2454.4689
06/04/86,2447.0394
06/11/86,2451.3382
06/18/86,2448.4657
06/25/86,2459.8192
07/02/86,2465.1826
07/09/86,2471.5587
07/16/86,2486.6456
07/23/86,2484.5397
07/30/86,2485.2181
08/06/86,2493.2125
08/13/86,2492.6703
08/20/86,2501.4704
08/27/86,2519.7656
09/03/86,2532.0363
09/10/86,2514.4094
09/17/86,2527.7558
09/24/86,2518.9784
10/01/86,2546.0622
10/08/86,2524.944
10/15/86,2541.6636
10/22/86,2532.079
10/29/86,2518.5899
11/05/86,2537.4413
11/12/86,2560.7762
11/19/86,2546.9217
11/26/86,2566.5902
12/03/86,2560.0113
12/10/86,2574.5036
12/17/86,2574.5008
12/24/86,2614.2465
12/31/86,2633.7281
01/07/87,2622.3301
01/14/87,2610.2395
01/21/87,2620.359
01/28/87,2637.6292
02/04/87,2620.6848
02/11/87,2624.0656
02/18/87,2623.6166
02/25/87,2626.4986
03/04/87,2626.8764
03/11/87,2637.739
03/18/87,2631.2366
03/25/87,2646.81
04/01/87,2664.3837
04/08/87,2656.3874
04/15/87,2679.5315
04/22/87,2678.5941
04/29/87,2658.4418
05/06/87,2666.015
05/13/87,2668.3027
05/20/87,2679.7856
05/27/87,2701.8092
06/03/87,2665.9548
06/10/87,2681.7627
06/17/87,2666.9255
06/24/87,2692.9642
07/01/87,2679.9534
07/08/87,2658.6309
07/15/87,2686.3883
07/22/87,2675.4345
07/29/87,2671.7469
08/05/87,2682.2691
08/12/87,2694.1055
08/19/87,2685.636
08/26/87,2713.4704
09/02/87,2671.9213
09/09/87,2712.0125
09/16/87,2714.3696
09/23/87,2724.3437
09/30/87,2726.6666
10/07/87,2714.0946
10/14/87,2725.6167
10/21/87,2748.7635
10/28/87,2766.6838
11/04/87,2742.5033
11/11/87,2737.5767
11/18/87,2726.8671
11/25/87,2732.0852
12/02/87,2729.2221
12/09/87,2731.3595
12/16/87,2735.5696
12/23/87,2739.7927
12/30/87,2727.0889
01/06/88,2744.2466
01/13/88,2745.9882
01/20/88,2755.6041
01/27/88,2764.9415
02/03/88,2767.0217
02/10/88,2770.6547
02/17/88,2775.6999
02/24/88,2754.7062
03/02/88,2767.4522
03/09/88,2765.4264
03/16/88,2784.1984
03/23/88,2791.2445
03/30/88,2773.9531
04/06/88,2805.6509
04/13/88,2788.6087
04/20/88,2813.1751
04/27/88,2806.9404
05/04/88,2831.0237
05/11/88,2834.6959
05/18/88,2828.5833
05/25/88,2819.0587
06/01/88,2862.1982
06/08/88,2845.3697
06/15/88,2885.5219
06/22/88,2857.2168
06/29/88,2851.2807
07/06/88,2876.0133
07/13/88,2871.5659
