Date,BalanceSheet_FED
06/05/19,3847645
06/12/19,3849955
06/19/19,3844016
06/26/19,3826817
07/03/19,3813198
07/10/19,3815038
07/17/19,3808110
07/24/19,3803436
07/31/19,3779102
08/07/19,3781543
08/14/19,3786018
08/21/19,3764866
08/28/19,3759946
09/04/19,3761508
09/11/19,3769673
09/18/19,3844695
09/25/19,3857715
10/02/19,3945831
10/09/19,3949955
10/16/19,3966471
10/23/19,3968700
10/30/19,4019823
11/06/19,4039443
11/13/19,4047882
11/20/19,4030249
11/27/19,4052875
12/04/19,4065696
12/11/19,4095491
12/18/19,4137052
12/25/19,4165591
01/01/20,4173626
01/08/20,4149544
01/15/20,4175850
01/22/20,4145912
01/29/20,4151630
02/05/20,4166707
02/12/20,4182689
02/19/20,4171570
02/26/20,4158637
03/04/20,4241507
03/11/20,4311911
03/18/20,4668212
03/25/20,5254278
04/01/20,5811607
04/08/20,6083141
04/15/20,6367887
04/22/20,6573136
04/29/20,6655929
05/06/20,6721420
05/13/20,6934227
05/20/20,7037258
05/27/20,7097316
06/03/20,7165217
06/10/20,7168936
06/17/20,7094690
06/24/20,7082302
07/01/20,7009040
07/08/20,6920716
07/15/20,6958604
07/22/20,6964755
07/29/20,6949032
08/05/20,6945237
08/12/20,6957277
08/19/20,7010637
08/26/20,6990418
09/02/20,7017492
09/09/20,7010614
09/16/20,7064475
09/23/20,7093161
09/30/20,7056129
10/07/20,7074649
10/14/20,7151426
10/21/20,7177265
10/28/20,7146306
11/04/20,7157479
11/11/20,7175417
11/18/20,7243080
11/25/20,7216480
12/02/20,7222414
12/09/20,7242658
12/16/20,7362592
12/23/20,7404039
12/30/20,7363351
01/06/21,7334809
01/13/21,7333968
01/20/21,7414942
01/27/21,7404926
02/03/21,7410598
02/10/21,7442225
02/17/21,7557402
02/24/21,7590111
03/03/21,7557524
03/10/21,7579901
03/17/21,7693506
03/24/21,7719622
03/31/21,7688988
04/07/21,7708882
04/14/21,7793104
04/21/21,7820948
04/28/21,7780962
05/05/21,7810486
05/12/21,7830663
05/19/21,7922883
05/26/21,7903541
06/02/21,7935703
06/09/21,7952327
06/16/21,8064257
06/23/21,8101945
06/30/21,8078544
07/07/21,8097773
07/14/21,8201651
07/21/21,8240530
07/28/21,8221473
08/04/21,8235073
08/11/21,8257159
08/18/21,8342598
08/25/21,8332743
