Date,10yr-2y_euro-area,10yr-2y_usa,BalanceSheet_euro-area,BalanceSheet_global,BalanceSheet_japan,BalanceSheet_usa,BTC_price,GDP_japan,GDP_usa,GDP_euro-area,Breakeven_inflation_usa,CPI_euro-area,CPI_japan,CPI_usa,PMI_euro-area,PMI_japan,PMI_usa,EURUSD,JPYUSD,JPYEUR,SPY,QQQ,EXSA,JPXN
2014-01-31,1.787,2.33,2217061.0,14174.1985,2321780.0,4102138.0,803.0,516491.8,17197.738,2924334.5,2.14,0.8,1.4,0.3720247673236049,54.0,56.2,53.7,1.3558770418167114,0.0097316019237041,0.0071800001896917,147.77565002441406,78.87068176269531,23.705434799194336,40.82475280761719
2014-02-28,1.725,2.33,2181079.0,14232.0425,2404502.0,4159972.0,551.89,,,,2.17,0.7,1.5,0.369790865096873,53.2,55.5,57.1,1.3707455396652222,0.009793359786272,0.007139999885112,154.50177001953125,82.59159088134766,24.89764404296875,41.36464691162109
2014-03-31,1.65,2.29,2152103.0,14350.0136,2415798.0,4226971.0,454.83,,,,2.13,0.5,1.6,0.6440044126228239,53.0,53.9,55.5,1.3752131462097168,0.0097192116081714,0.0070699998177587,155.0989227294922,80.48329162597656,24.60507202148437,40.31808471679688
2014-04-30,1.563,2.25,2169061.0,14435.5116,2461764.0,4296049.0,448.85,517929.3,17518.508,2936189.0,2.18,0.7,3.4,0.329675445315773,53.4,49.4,55.4,1.3813681602478027,0.0097500095143914,0.0070600002072751,156.8663787841797,80.40972137451172,25.116098403930664,39.313018798828125
2014-05-31,1.494,2.11,2197095.0,14587.5874,2539730.0,4322654.0,627.8,,,,2.22,0.5,3.7,0.34926098400487,52.2,49.9,56.4,1.3634566068649292,0.0098200002685189,0.0071999998763203,160.50669860839844,84.0166244506836,25.85739517211914,41.27327346801758
2014-06-30,1.422,2.06,2088099.0,14731.1612,2577613.0,4368348.0,641.11,,,,2.26,0.5,3.6,0.186212694409411,51.8,51.5,57.3,1.3644425868988037,0.0098577523604035,0.0072200000286102,163.0390625,86.40894317626953,25.37299156188965,42.86805725097656
2014-07-31,1.333,2.05,2044312.0,14817.424,2689676.0,4406637.0,582.04,518306.4,17804.228,2956014.2,2.29,0.4,3.4,-0.0390193964161093,51.8,50.5,55.8,1.3396027088165283,0.009723843075335,0.0072599998675286,161.6189727783203,87.66520690917969,25.298555374145508,43.0363655090332
2014-08-31,1.079,1.87,2038716.0,14806.9415,2758955.0,4413736.0,479.04,,,,2.12,0.4,3.3,-0.167051416579219,50.7,52.2,57.9,1.313456416130066,0.00960448756814,0.007309999782592,167.9970703125,92.05677795410156,25.76691436767578,42.359222412109375
2014-09-30,1.155,1.94,2038235.0,14973.616,2770994.0,4459050.0,391.09,,,,1.97,0.3,3.2,0.0752568824311014,50.3,51.7,57.5,1.269083857536316,0.0091416034847497,0.0071999998763203,164.90846252441406,91.14341735839844,25.573627471923828,42.04990005493164
2014-10-31,1.047,1.85,2052070.0,15022.3189,2868380.0,4486754.0,337.99,522163.7,17912.079,2972592.2,1.92,0.4,2.9,-0.2512277812553889,50.6,52.4,55.9,1.2613362073898315,0.0091564189642667,0.0072599998675286,169.58119201660156,93.7739486694336,25.464380264282227,43.11996841430664
2014-11-30,0.868,1.71,2053892.0,15101.9577,2973747.0,4485931.0,377.01,,,,1.79,0.3,2.4,-0.539941794106119,50.1,52.0,54.8,1.2437965869903564,0.0084156664088368,0.0067699998617172,174.23997497558594,98.03724670410156,26.328462600708008,41.707149505615234
2014-12-31,0.765,1.50,2150247.0,14933.9544,3002117.0,4497660.0,321.0,,,,1.68,-0.2,2.4,-0.567010091001089,50.6,52.0,53.9,1.2162047624588013,0.0083711426705122,0.0068799997679889,172.84397888183594,95.48485565185548,25.73488044738769,40.528411865234375
2015-01-31,0.536,1.21,2181954.0,15211.1882,3111731.0,4500064.0,217.4640045166016,534597.1,18063.529,3011495.2,1.65,-0.6,2.4,-0.470589237347324,51.0,52.2,53.9,1.128795504570007,0.008514261804521,0.0075400001369416,168.64842224121094,93.84488677978516,27.90497589111328,41.47832107543945
2015-02-28,0.57,1.37,2155836.0,15268.2662,3204418.0,4486725.0,254.26300048828125,,,,1.83,-0.3,2.2,0.434304492377206,51.0,51.6,55.1,1.119795799255371,0.0083600003272295,0.0074700000695884,178.1272735595703,100.62102508544922,29.79147148132324,44.50119018554688
2015-03-31,0.488,1.38,2250801.0,15371.3983,3235937.0,4480603.0,244.2239990234375,,,,1.76,-0.1,2.3,0.5951721611097321,52.2,50.3,55.7,1.0830246210098269,0.0083324303850531,0.0076899998821318,174.5504913330078,98.02197265625,30.19894218444824,45.31797409057617
2015-04-30,0.623,1.47,2360790.0,15400.9049,3328186.0,4471499.0,236.1450042724609,538241.5,18279.784,3042756.8,1.94,0.2,0.6,0.2032873254587689,52.0,49.9,54.1,1.1114321947097778,0.0084054805338382,0.0075599998235702,177.05386352539062,100.1360321044922,30.320131301879883,46.56416702270508
2015-05-31,0.836,1.51,2416666.0,15334.9579,3431402.0,4463981.0,230.19000244140625,,,,1.80,0.6,0.5,0.509723202549469,52.2,50.9,54.0,1.0960345268249512,0.0080762393772602,0.0073699997738003,179.330078125,102.3875503540039,30.811845779418945,47.2883186340332
2015-06-30,1.181,1.71,2539544.0,15327.7918,3454395.0,4495055.0,263.0719909667969,,,,1.87,0.5,0.4,0.350286999852812,52.5,50.1,53.6,1.122296690940857,0.0081519521772861,0.0072599998675286,174.8370361328125,99.61504364013672,29.1248722076416,46.58942794799805
2015-07-31,0.985,1.53,2536592.0,15370.1754,3542941.0,4485480.0,284.6499938964844,539935.4,18401.626,3063852.8,1.74,0.5,0.2,0.0067047159295661,52.4,51.2,53.8,1.0939244031906128,0.0080599011853337,0.0073699997738003,179.6561279296875,104.39481353759766,30.713457107543945,46.93471908569336
