Date,BTC_USD,Mining_Difficulty,M2_Liquidity,EUR_USD,JPY_USD,JPY_EUR,SPY,QQQ,EXSA,JPXN,IWDA,GLD,SLV,TLT,BND,BTC_Supply
2014-02-15,371.07,2621404453.0,,,,,,,,,,,,,,12401875.0
2014-02-16,299.8,2621404453.0,,,,,,,,,,,,,,12406750.0
2014-02-17,272.28,3129573175.0,11187.0,1.3699944019317627,0.009846008,0.00718,152.61912536621094,82.10706329345703,24.62702178955078,40.79152297973633,28.674999237060547,127.1500015258789,20.64999961853028,82.06288146972656,60.927528381347656,12410625.0
2014-02-18,293.95,3129573175.0,,1.3704450130462646,0.009797966,0.00715,152.80160522460938,82.50930023,24.612398147583008,41.50584793,28.684999465942383,127.4000015258789,21.12999916,82.24766540527344,61.01018905639648,12414700.0
2014-02-19,261.53,3129573175.0,,1.376197338104248,0.009772114,0.0071,151.7897949,81.94246673583984,24.68553924560547,41.21513366699219,28.69499969482422,126.2699966430664,20.62999916,81.90119934082031,60.957618713378906,12419700.0
2014-02-20,111.92,3129573175.0,,1.373041749000549,0.009774121,0.00712,152.6855010986328,82.32647705078125,24.67090416,40.70845413208008,28.65999984741211,127.5999984741211,21.0,81.70103454589844,60.95005035400391,12424125.0
2014-02-21,111.56,3129573175.0,,1.372118592262268,0.009774025,0.00712,152.51136779785156,82.21677399,24.744049072265625,41.339725494384766,28.795000076293945,127.58000183105467,20.96999931335449,82.13217163085938,60.99517440795898,12427925.0
2014-02-22,255.59,3129573175.0,,,,,,,,,,,,,,12432400.0
2014-02-23,310.17,3129573175.0,,,,,,,,,,,,,,12436625.0
2014-02-24,174.0,3129573175.0,11135.6,1.3737962245941162,0.009754861,0.0071,153.3572540283203,82.65562438964844,24.86839866638184,41.77995681762695,28.959999084472656,128.99000549316406,21.18000030517578,81.92428588867188,60.98014068603516,12441400.0
2014-02-25,135.78,3129573175.0,,1.373607516288757,0.009757811,0.0071,153.29917907714844,82.56416320800781,24.91958808898925,41.72181701660156,28.88999938964844,129.2100067138672,21.020000457763672,82.65573120117188,61.10040664672852,12445425.0
2014-02-26,593.14,3129573175.0,,1.374608278274536,0.009789525,0.00712,153.3074951171875,82.49102020263672,24.824499130249023,41.49754333496094,28.96999931335449,128.11000061035156,20.420000076293945,83.09462738,61.22818756103516,12449975.0
