Date,USD_OnChain_Volume,Nr_Transactions,Nr_Addresses,BTC_PageViews,Crypto_PageViews
2012-01-17,1461674.771,6761.0,11172.0,,
2012-01-18,882686.3225,6647.0,11230.0,,
2012-01-19,1260501.936,6902.0,11554.0,,
2012-01-20,815380.8619,6780.0,10999.0,,
2012-01-21,583815.4967,6366.0,10374.0,,
2012-01-22,466919.0852,5325.0,8947.0,,
2012-01-23,533520.8086,6100.0,10480.0,,
2012-01-24,1083628.089,7268.0,11684.0,,
2012-01-25,1081231.16,7961.0,12953.0,,
2012-01-26,977920.9147,6598.0,11011.0,,
2012-01-27,791223.4813,6337.0,10766.0,,
2012-01-28,638920.9611,5910.0,10203.0,,
2012-01-29,644283.8293,6426.0,10694.0,,
2012-01-30,519850.6389,6153.0,10641.0,,
2012-01-31,595116.3249,6925.0,11903.0,,
2012-02-01,937948.1872,6502.0,11456.0,,
2012-02-02,780934.7735,7164.0,12431.0,,
2012-02-03,844182.2567,7050.0,12425.0,,
2012-02-04,888416.8321,7237.0,12232.0,,
2012-02-05,712632.7933,6774.0,11451.0,,
2012-02-06,801919.1064,6136.0,10597.0,,
2012-02-07,671519.4784,7012.0,11419.0,,
2012-02-08,651589.3821,7024.0,11594.0,,
2012-02-09,525363.0007,7488.0,12023.0,,
2012-02-10,664203.9785,8456.0,12577.0,,
2012-02-11,890076.434,7679.0,11710.0,,
2012-02-12,720424.3489,7030.0,11267.0,,
2012-02-13,1249668.869,7992.0,12755.0,,
2012-02-14,1894019.827,9489.0,14360.0,,
2012-02-15,2530999.664,9337.0,14247.0,,
2012-02-16,1260810.802,9537.0,14682.0,,
2012-02-17,892942.3213,6778.0,11012.0,,
2012-02-18,624073.6433,6516.0,11467.0,,
2012-02-19,415301.1541,5958.0,10566.0,,
2012-02-20,545044.4585,6339.0,11159.0,,
2012-02-21,584084.9174,6420.0,11225.0,,
2012-02-22,648769.1789,7194.0,12304.0,,
2012-02-23,669857.7281,8014.0,13499.0,,
2012-02-24,976467.8338,6930.0,12250.0,,
2012-02-25,871111.2544,6306.0,11022.0,,
